SMILES,Hit_Miss,MolLogP,TPSA,FractionCSP3,HeavyAtomMolWt,LabuteASA,HallKierAlpha,BertzCT,Chi0n,Chi4n,NumAromaticRings,NumAliphaticRings,NumRotatableBonds,NumHeteroatoms,NumHDonors,NumHAcceptors,EState_VSA3,RadiusOfGyration,PMI1,PMI2,PMI3,InertialShapeFactor,Asphericity,SpherocityIndex
Br.CCCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,1,5.663570000000005,28.78,0.7619047619047619,360.1490000000001,157.8864872220384,-0.5700000000000001,534.4315987473699,15.462063603762038,4.608659689597936,1.0,2.0,9.0,3.0,1.0,2.0,0.0,4.009736448277465,1088.5058245556913,5446.101648287598,6180.796683344089,0.0008094882102916602,0.5623382210735532,0.13640185260616972
Br.CCCCCCCCOC(=O)c1c(CSC(=N)N)n(C)c2cc(Br)c(OC(C)=O)cc12,1,6.087970000000006,107.4,0.5,562.1340000000001,211.72012525922722,-1.52,915.3967740863055,18.663572868353626,3.3845487280936695,2.0,0.0,11.0,10.0,2.0,7.0,39.22557062138628,4.540356181791711,3815.5241157194387,9239.57489035015,11409.844156738764,0.000212235522360734,0.30676345091938234,0.2584439572496279
Br.CCOC(=O)c1c(CSC(=N)N)n(-c2ccc(C)cc2)c2cc(Br)c(OC(C)=O)cc12,1,5.507990000000004,107.4,0.22727272727272727,562.1340000000002,208.58756677891154,-2.2999999999999994,1129.2353010320287,17.730333257992843,3.276464101199332,3.0,0.0,6.0,10.0,2.0,7.0,26.86583505012657,4.130458045257629,3928.2503467684346,6446.139688907357,9597.460445585462,0.00017097957139700082,0.24273546978563193,0.17243722412105267
Br.COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,1,4.051000000000003,40.160000000000004,0.42857142857142855,410.1380000000002,170.4880307487504,-1.92,839.8473073476508,16.419176468137422,4.3786656474855254,2.0,2.0,4.0,6.0,0.0,5.0,6.041840829147961,3.3334429716926426,1862.4741827314344,3056.531441320852,4778.210034342822,0.0003434577893073753,0.2741815184103605,0.09206256592091058
Br.COc1ccc(-c2csc(CCN3N=C(C)CC3=O)n2)cc1,1,3.5473000000000026,54.79,0.3125,378.1660000000001,149.3103338424626,-1.73,679.0833193673369,12.9827056378631,2.3036303086748817,2.0,1.0,5.0,7.0,0.0,5.0,12.965578028838586,4.174699813859395,897.1429249152975,6048.274200166314,6868.458188794032,0.0009815458166036485,0.6588661887152026,0.03854402220353342
Br.COc1ccc(-c2csc(Nc3ccc(O)cc3)n2)cc1,0,4.845800000000003,54.379999999999995,0.0625,364.15900000000016,142.74088817513802,-2.05,696.5540535279587,11.81532448509814,1.8937574327025388,3.0,0.0,4.0,6.0,2.0,5.0,0.0,4.024500552178887,391.9627833725885,5777.065455380895,6117.035825088062,0.002409469489094556,0.8200390891101705,0.026012857765204508
Brc1ccc(CNc2ccc3ncccc3c2)cc1,0,4.609400000000003,24.92,0.0625,300.09400000000005,120.17216174188873,-1.8699999999999992,677.7308531523312,10.305787541591993,1.99195819939131,3.0,0.0,3.0,3.0,1.0,2.0,0.0,4.095857067390392,872.9936237385584,4598.105048191302,5037.348884860144,0.0010456005097177654,0.5689027376642023,0.3332382343396727
Brc1ccc(Cn2c(-c3ccc(Br)o3)nc3ccccc32)o1,0,5.462600000000003,44.1,0.0625,411.99600000000015,142.55473180574936,-1.7899999999999998,923.927786951926,11.292761652649652,2.450688036826154,4.0,0.0,3.0,6.0,0.0,4.0,21.64403471080674,4.095330120389391,2623.3490381312467,4575.7282239521555,6958.811143646913,0.0002506507992191792,0.2822418806066086,0.16070225757786324
Brc1cccc(-c2cnn3c(-c4ccccc4)cc(-c4ccccc4)nc23)c1,0,6.492800000000004,30.19,0.0,410.18900000000025,170.9961432688405,-3.239999999999999,1241.4814771755098,14.957209566543119,3.3938559950206773,5.0,0.0,3.0,4.0,0.0,3.0,0.0,4.700941766961311,2756.889943992786,6842.151428477818,9243.192479545944,0.00026850430640516136,0.36349897599116276,0.1035932974343354
C#CC(=O)N(c1cc(OC)ccc1OC)C(C(=O)NC1CCCC1)c1cccs1,1,3.531600000000002,67.87,0.36363636363636365,388.3190000000002,174.36139071997448,-2.9799999999999995,865.2572867559677,16.5130345952721,3.5911340724464833,2.0,1.0,7.0,7.0,1.0,5.0,22.063557134952674,3.800624453878826,2369.6322406978916,4572.982773519403,4974.618417722886,0.00038793489088096133,0.16620166351647583,0.36296291246923806
C#CCOC(=O)c1ccccc1C(=O)n1nnc2ccccc21,1,1.9098,74.08000000000001,0.058823529411764705,294.20500000000004,131.22602225704506,-3.4599999999999995,912.3613484285057,11.969644861784646,2.165597392317329,3.0,0.0,3.0,6.0,0.0,6.0,11.033401435232523,3.13945805118243,1356.4728880080688,2079.0833038895357,2582.499621091353,0.000593499703685686,0.12583790032623102,0.3668315155073886
C#CCOc1ccc(/C=C2/C(=O)N(c3cccc(C(=O)O)c3)N=C2C)cc1OC,1,3.211500000000002,88.43,0.13636363636363635,372.25100000000015,167.4113702632687,-4.049999999999999,1049.6861645738213,15.87789315224851,2.8092698198604724,2.0,1.0,6.0,7.0,1.0,5.0,34.03465096578834,5.219226869521756,1144.5345248707433,9883.973257533167,10240.468787716904,0.0008433014086700222,0.7040304277511249,0.1997194430868723
C#CCOc1ccc(Br)cc1C(c1c(C)n[nH]c1O)c1c(C)n[nH]c1O,1,3.1155400000000006,107.05,0.2222222222222222,400.1270000000001,158.09855389013526,-2.9200000000000004,867.3276576019296,14.1689252726076,2.9995413460990683,3.0,0.0,5.0,8.0,4.0,5.0,33.82772229807181,3.5844204143524925,2425.5406775095325,3703.6272182704697,4592.880324379412,0.00033245554085319285,0.1238951607621256,0.5760237785522558
C#CCOc1ccc(OC)cc1C(c1c(C)n[nH]c1O)c1c(C)n[nH]c1O,1,2.36164,116.28000000000002,0.2631578947368421,348.2330000000001,155.70949362839738,-3.6000000000000005,882.8748628872609,15.199209090062237,3.1337411421209707,3.0,0.0,6.0,8.0,4.0,6.0,39.577234131355716,3.516436228923117,2706.2764211882068,2919.123308418789,3485.1976963952507,0.00030949445228109474,0.023431985192411305,0.654584625033779
C#CCSc1nnc(-c2sc(-c3ccccc3)nc2C)n1C,1,3.639320000000003,43.6,0.1875,312.338,137.179530210098,-2.1,803.5930283939434,12.276559359251863,2.052623213578532,3.0,0.0,4.0,6.0,0.0,6.0,5.752853606746789,4.192813733757511,778.7027544859843,5180.872369753036,5518.202521968978,0.0012056841379581651,0.6369507294785898,0.15276738831358666
C#Cc1c(-c2ccccc2)oc2cc(O)c(C(=O)O)cc12,0,3.4849000000000006,70.67,0.0,268.183,119.80853246085793,-3.19,867.7825771650222,10.82972592544465,2.2395810215645517,3.0,0.0,2.0,4.0,2.0,3.0,22.292943266678478,3.765224795037738,623.1991889277125,3342.651526432102,3923.972616365292,0.0013669047605995791,0.5985113661413726,0.029672377006775857
C#Cc1ccc(NC(=O)C(=O)O)cc1,1,0.691,66.4,0.0,182.11399999999998,80.55753710483427,-2.28,385.0416414150851,7.150461522375814,0.8343469623262453,1.0,0.0,1.0,4.0,2.0,2.0,11.250837766380558,3.249398584403275,187.44748759649127,1809.9212022042475,1997.3686897954913,0.004834168743774255,0.7448802558379773,3.6774243231966566e-12
