SMILES,Hit_Miss,MolLogP,TPSA,MolWt,NumRotatableBonds,HallKierAlpha,FractionCSP3,RingCount,NumHDonors,NumHAcceptors
Br.CCCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,1,5.663570000000005,28.78,395.42900000000026,9.0,-0.5700000000000001,0.7619047619047619,3.0,1.0,2.0
Br.CCCCCCCCOC(=O)c1c(CSC(=N)N)n(C)c2cc(Br)c(OC(C)=O)cc12,1,6.087970000000006,107.4,593.3820000000001,11.0,-1.52,0.5,2.0,2.0,7.0
Br.CCOC(=O)c1c(CSC(=N)N)n(-c2ccc(C)cc2)c2cc(Br)c(OC(C)=O)cc12,1,5.507990000000004,107.4,585.3180000000001,6.0,-2.2999999999999994,0.22727272727272727,3.0,2.0,7.0
Br.COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,1,4.051000000000003,40.160000000000004,436.3460000000003,4.0,-1.92,0.42857142857142855,4.0,0.0,5.0
Br.COc1ccc(-c2csc(CCN3N=C(C)CC3=O)n2)cc1,1,3.5473000000000026,54.79,396.3100000000002,5.0,-1.73,0.3125,3.0,0.0,5.0
Br.COc1ccc(-c2csc(Nc3ccc(O)cc3)n2)cc1,0,4.845800000000003,54.379999999999995,379.2790000000001,4.0,-2.05,0.0625,3.0,2.0,5.0
Brc1ccc(CNc2ccc3ncccc3c2)cc1,0,4.609400000000003,24.92,313.19800000000004,3.0,-1.8699999999999992,0.0625,3.0,1.0,2.0
Brc1ccc(Cn2c(-c3ccc(Br)o3)nc3ccccc32)o1,0,5.462600000000003,44.1,422.0760000000001,3.0,-1.7899999999999998,0.0625,4.0,0.0,4.0
Brc1cccc(-c2cnn3c(-c4ccccc4)cc(-c4ccccc4)nc23)c1,0,6.492800000000004,30.19,426.3170000000001,3.0,-3.239999999999999,0.0,5.0,0.0,3.0
C#CC(=O)N(c1cc(OC)ccc1OC)C(C(=O)NC1CCCC1)c1cccs1,1,3.531600000000002,67.87,412.5110000000002,7.0,-2.9799999999999995,0.36363636363636365,3.0,1.0,5.0
C#CCOC(=O)c1ccccc1C(=O)n1nnc2ccccc21,1,1.9098,74.08000000000001,305.293,3.0,-3.4599999999999995,0.058823529411764705,3.0,0.0,6.0
C#CCOc1ccc(/C=C2/C(=O)N(c3cccc(C(=O)O)c3)N=C2C)cc1OC,1,3.211500000000002,88.43,390.3950000000001,6.0,-4.049999999999999,0.13636363636363635,3.0,1.0,5.0
C#CCOc1ccc(Br)cc1C(c1c(C)n[nH]c1O)c1c(C)n[nH]c1O,1,3.1155400000000006,107.05,417.2630000000001,5.0,-2.9200000000000004,0.2222222222222222,3.0,4.0,5.0
C#CCOc1ccc(OC)cc1C(c1c(C)n[nH]c1O)c1c(C)n[nH]c1O,1,2.36164,116.28000000000002,368.3930000000001,6.0,-3.6000000000000005,0.2631578947368421,3.0,4.0,6.0
C#CCSc1nnc(-c2sc(-c3ccccc3)nc2C)n1C,1,3.639320000000003,43.6,326.4500000000001,4.0,-2.1,0.1875,3.0,0.0,6.0
C#Cc1c(-c2ccccc2)oc2cc(O)c(C(=O)O)cc12,0,3.4849000000000006,70.67,278.263,2.0,-3.19,0.0,3.0,2.0,3.0
C#Cc1ccc(NC(=O)C(=O)O)cc1,1,0.691,66.4,189.17000000000002,1.0,-2.28,0.0,1.0,2.0,2.0
C(=C/c1ccc2nncn2c1)\c1ccccc1,1,2.899700000000001,30.19,221.263,2.0,-2.4199999999999995,0.0,3.0,0.0,3.0
C(=C/c1nccc2c1[nH]c1ccccc12)\c1ccccc1,1,4.886500000000003,28.68,270.335,2.0,-2.8699999999999988,0.0,4.0,1.0,1.0
C(=N/Nc1nncc2ccccc12)\c1ccccn1,1,2.4707999999999997,63.06,249.27700000000002,3.0,-2.819999999999999,0.0,3.0,1.0,5.0
C/C(=C/CCC(C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3)C(=O)O,1,7.752000000000008,54.370000000000005,454.6950000000003,5.0,-1.3800000000000001,0.8,4.0,1.0,2.0
C/C(=C1\C=CC=N1)c1ccc(-c2ccc[nH]2)o1,1,3.646300000000002,41.29,224.263,2.0,-2.29,0.07142857142857142,3.0,1.0,2.0
C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,0,2.5925000000000016,146.05,500.62900000000013,16.0,-1.5200000000000002,0.8461538461538461,2.0,4.0,8.0
C/C(=C\[C@H](C)C[C@@H](C)C[C@@H](C)C[C@@H](C)[C@@H](C)O)C(=O)NCCC(=O)O,0,3.6191000000000013,86.63000000000001,355.5190000000001,12.0,-1.36,0.8,0.0,3.0,3.0
C/C(=C\c1ccco1)C1C(C#N)=C(N)Oc2[nH]nc(-c3ccccc3)c21,1,3.943080000000002,100.86,344.374,3.0,-3.7199999999999993,0.1,4.0,2.0,5.0
C/C(=N/NC(=O)Cc1cc(O)[nH]n1)c1ccc([N+](=O)[O-])cc1,1,1.1064000000000003,133.51,303.2780000000001,5.0,-3.23,0.15384615384615385,2.0,3.0,6.0
C/C(=N\NC(=O)CC#N)c1cc2ccccc2oc1=O,1,1.54688,95.46000000000001,269.26,3.0,-2.9399999999999995,0.14285714285714285,2.0,1.0,5.0
C/C(=N\NC(=O)Cc1cc(O)[nH]n1)c1cccc([N+](=O)[O-])c1,1,1.1064000000000003,133.51,303.2780000000001,5.0,-3.23,0.15384615384615385,2.0,3.0,6.0
