canonical_smiles,standardized_value,class
Br.CCCCCCCCCCn1c2c(c(=N)c3c1CCC3)CCC2,1.83,1
Br.CCCCCCCCOC(=O)c1c(CSC(=N)N)n(C)c2cc(Br)c(OC(C)=O)cc12,1.57,1
Br.CCOC(=O)c1c(CSC(=N)N)n(-c2ccc(C)cc2)c2cc(Br)c(OC(C)=O)cc12,4.25,1
Br.COc1cc2c(cc1OC)-c1c(OC)c(OC)cc3c1[C@H](C2)N(C)CC3,3.598,1
Br.COc1ccc(-c2csc(CCN3N=C(C)CC3=O)n2)cc1,1.54,1
Br.COc1ccc(-c2csc(Nc3ccc(O)cc3)n2)cc1,37.19,0
Brc1ccc(CNc2ccc3ncccc3c2)cc1,96.82,0
Brc1ccc(Cn2c(-c3ccc(Br)o3)nc3ccccc32)o1,9.48,0
Brc1cccc(-c2cnn3c(-c4ccccc4)cc(-c4ccccc4)nc23)c1,200,0
C#CC(=O)N(c1cc(OC)ccc1OC)C(C(=O)NC1CCCC1)c1cccs1,1.936,1
C#CCOC(=O)c1ccccc1C(=O)n1nnc2ccccc21,6.806,1
C#CCOc1ccc(/C=C2/C(=O)N(c3cccc(C(=O)O)c3)N=C2C)cc1OC,2.01,1
C#CCOc1ccc(Br)cc1C(c1c(C)n[nH]c1O)c1c(C)n[nH]c1O,0.9732,1
C#CCOc1ccc(OC)cc1C(c1c(C)n[nH]c1O)c1c(C)n[nH]c1O,0.187,1
C#CCSc1nnc(-c2sc(-c3ccccc3)nc2C)n1C,2.88,1
C#Cc1c(-c2ccccc2)oc2cc(O)c(C(=O)O)cc12,63,0
C#Cc1ccc(NC(=O)C(=O)O)cc1,4.3,1
C(=C/c1ccc2nncn2c1)\c1ccccc1,1.452,1
C(=C/c1nccc2c1[nH]c1ccccc12)\c1ccccc1,0.37041,1
C(=N/Nc1nncc2ccccc12)\c1ccccn1,1.29,1
C/C(=C/CCC(C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1CC3)C(=O)O,2.116,1
C/C(=C1\C=CC=N1)c1ccc(-c2ccc[nH]2)o1,0.9,1
C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O,5000,0
C/C(=C\[C@H](C)C[C@@H](C)C[C@@H](C)C[C@@H](C)[C@@H](C)O)C(=O)NCCC(=O)O,50,0
C/C(=C\c1ccco1)C1C(C#N)=C(N)Oc2[nH]nc(-c3ccccc3)c21,3.12,1
C/C(=N/NC(=O)Cc1cc(O)[nH]n1)c1ccc([N+](=O)[O-])cc1,1.38,1
C/C(=N\NC(=O)CC#N)c1cc2ccccc2oc1=O,2.97,1
C/C(=N\NC(=O)Cc1cc(O)[nH]n1)c1cccc([N+](=O)[O-])c1,1.31,1
C/C(=N\NC(=O)c1cccc(Cl)c1)C1C(=O)c2ccccc2C1=O,68.57,0
C/C(=N\NC(=O)c1ccncc1)c1cc2ccccc2oc1=O,2.765,1
C/C(=N\Nc1ccc(Cl)c(C(=O)O)c1)c1ccc(Br)s1,100,0
C/C(CC(=O)N1CCN(C=O)CC1)=N\NC(=O)c1cccc([N+](=O)[O-])c1,1.99,1
C/C(CC(=O)NCc1ccco1)=N\NC(=O)c1ccc([N+](=O)[O-])cc1Cl,5.56,1
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)C(=O)NC(C)C,4.48,1
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)COc1cccc(C)c1,1.54,1
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1ccc(C)cc1,8.13,0
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1cccc(C)c1,4.04,1
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1cccc(F)c1,8.06,0
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1ccccc1C,6.24,1
C/C(CC(=O)Nc1cc(C)ccn1)=N\NC(=O)c1ccncc1,4.03,1
C/C(CC(=O)Nc1ccc(Cl)cn1)=N\NC(=O)Cc1cccs1,5.12,1
C/C(CC(=O)Nc1ccc(F)cc1)=N\NC(=O)COc1ccccc1,3.72,1
C/C(CC(=O)Nc1ccc(F)cc1F)=N\NC(=O)C(=O)N1CCCCC1,1.8,1
C/C(CC(=O)Nc1ccccc1[N+](=O)[O-])=N\NC(=O)COc1ccccc1C,3.85,1
C/C(CC(=O)Nc1ccccn1)=N\NC(=O)Cc1cccc2ccccc12,2.73,1
C/C(CC(=O)Nc1ccccn1)=N\NC(=O)c1ccc(C)cc1,8.84,0
C/C(CC(=O)Nc1ccccn1)=N\NC(=O)c1cccc(C)c1,7.75,1
C/C(CC(=O)Nc1ccccn1)=N\NC(=O)c1ccncc1,1.94,1
C/C(CC(=O)Nc1cccnc1)=N\NC(=O)c1ccc([N+](=O)[O-])c(Cl)c1,4.18,1
C/C(CCC(=O)Nc1ccc(F)cc1)=N\NC(=O)c1ccc(-n2cccc2)cc1,7.69,1
C/C(Cl)=C/Cn1c(SC(C)C)nc2c1c(=O)[nH]c(=O)n2C,100,0
C/C(NNC(=O)c1ccccc1O)=C1/C(=O)NC(=O)N(C2CCCCC2)C1=O,24.75,0
C/C(NNC(=O)c1ccccc1O)=C1/C(=O)NC(=O)N(Cc2ccccc2)C1=O,20.38,0
C/C=C(/C)C(=O)OC(C)(C)[C@@H]1Cc2c(ccc3ccc(=O)oc23)O1,0.389,1
C/C=C(\C)[C@@H]1C(C)=C[C@@H]2CC(C)=CC[C@H]2[C@@H]1/C=C/C=C(\C)[C@@H](O)[C@@H](C)C(=O)O,1.05,1
C/C=C(\C)c1cc(O)c(C)c(OC(=O)c2c(/C(C)=C/C)cc(O)c(C)c2O)c1,75,0
C/C=C/C(C)=C/[C@@]1(C)SC(O)=C(C)C1=O,50,0
C/C=C/c1ccc2c(c1)O[C@@H](CN(C)C(=O)Cc1cccnc1)[C@H](C)CN([C@H](C)CO)S2(=O)=O,10.28,0
C/C=C/c1ccc2c(c1)O[C@@H](CN(C)C(=O)Nc1ccc(F)cc1)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,4.65,1
C/C=C/c1ccc2c(c1)O[C@@H](CN(C)C(=O)Nc1ccc(OC)cc1)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,2.08,1
C/C=C/c1ccc2c(c1)O[C@@H](CN(C)C(=O)Nc1ccccc1)[C@H](C)CN([C@H](C)CO)S2(=O)=O,5.6,1
C/C=C/c1ccc2c(c1)O[C@@H](CN(C)C(=O)c1ccc3c(c1)OCO3)[C@@H](C)CN([C@@H](C)CO)S2(=O)=O,5.33,1
C/C=C1\NC(=O)[C@H](CC(N)=O)N(C)C(=O)C([C@@H](C)O)NC(=O)C(CCCc2ccc(OC)cc2)NC(=O)[C@H](C(C)C)NC(=O)/C(=C\C)NC(=O)[C@H](O)[C@@H](C[C@@H](O)CCCCCCC)NC(=O)[C@H](C)NC(=O)CN(C)C(=O)[C@H](CCC(N)=O)NC1=O,100,0
C/N=C1\C(=O)c2ccccc2C(O)=C1N(C(C)=O)c1ccc(Br)cc1,0.795,1
C/N=c1\scc(-c2ccc(F)cc2)n1/N=C/c1ccc(O)c(O)c1,12.18,0
C/N=c1\scc(-c2ccccc2F)n1/N=C/c1ccc(O)c(O)c1O,32,0
C/N=c1\scc(-c2cccs2)n1/N=C/c1ccc(O)c(O)c1O,100,0
C=C(C)C(=O)NC1=NN(c2ccccc2)C(=O)C1,3.663,1
C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@H](C(N)=O)N(C(=O)C(c2ccccc2)c2ccccc2)C3)c1,166.77,0
C=C(C)C(=O)Nc1cccc(C2=NOC3(C2)C[C@H](C(N)=O)N(C(=O)COc2ccc(Cl)cc2)C3)c1,118.06,0
C=C(C)CN=C(S)N=Nc1c(O)[nH]c2ccc([N+](=O)[O-])cc12,52.84,0
